sector,actividad,antiguedad,rfc,calle,colonia,exterior,departamento,municipio,estado,cp,pais,nombre,numero_cliente
COMERCIO,OTROS COMERCIANTES,2003-10-08,ALT03081919A,PASEO ALEXANDER VON HUMBOLDT 43 A PISO 1,LOMAS VERDES 3� SECCION,TORRE B,,NAUCALPAN,EM,53125,MEX,ALTROX SA DE CV,BFBDF30I
TRANSPORTE,TRANSPORTE,2007-03-12,CSH980507Q50,EDO 29,GRANJAS NUEVAS,1102,,MEXICALI,BN,21390,MEX,COMANDOS SHUTTLE S D E RL DE CV,636B60IN
COMERCIO,SUPER Y ABARROTES,2008-03-06,DIS080201I65,CALLE UMAN -KINCHIL KM 1,UMAN,TB 3682,,MERIDA,YU,97118,MEX,DISURESA SA DE CV,6F6680DB
SERVICIOS,SERVICIOS PROFESIONALES,2000-06-02,PPA881004TU6,EMILIO CARRANZA,NUEVO CASAS GRANDES,1000,,NUEVO CASAS GRANDES,CH,31700,MEX,"PAVOS PARSON,SA DE C V",D803FBBD
SERVICIOS,SERVICIOS PROFESIONALES,2003-04-02,CAP030214BU8,AVENIDA 7,CORDOBA CENTRO,109,,CORDOBA,VE,94500,MEX,CAPRIMEX SA DE CV,FP0IIFNI
TRANSPORTE,TRANSPORTE,2003-03-25,EPA011211IP0,AV LA SENDA,LOS LERMAS,315,B,GUADALUPE,NL,67190,MEX,EXPRESS PALACIOS SA DE CV,NFDN8DNF
TRANSPORTE,TRANSPORTE,2015-06-17,AMO930121IZ9,CARRETERA NACIONAL KM 266,PALMARES RESIDENCIAL,800,LOC 27,MONTERREY,NL,64897,MEX,ATTE DE MONTERREY SA DE CV,XB0FFP3I
COMERCIO,SUPER Y ABARROTES,2011-12-07,PMT110405B79,AV LA PAZ,AMERICANA,2077,A,GUADALAJARA,JA,44160,MEX,PRODUCTORES DE MAIZ TENAMAXTLAN SPR DE R L DE CV,4D6F0I3D
COMERCIO,SUPER Y ABARROTES,2001-04-20,PML860820872,PROL EJE 6 SUR 560,ACULCO,BOD C 25,,IZTAPALAPA,DF,9000,MEX,"PESCADOS Y MARISCOS LUBASA,SA DE CV",N033NDBB
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,1990-02-14,SCA8903139X7,VIA GUSTAVO BAZ,XOCOYAHUALCO,39,,TLALNEPANTLA DE BAZ,EM,54080,MEX,SERVICIO DEL CANTABR ICO SA DE CV,3BNDB6FN
AGROINDUSTRIA,AGROINDUSTRIA,1999-01-25,AFI960705BT2,RANCHO SAN JOSE BUENAVISTA,TEQUISQUIAPAN,S/N,,TEQUISQUIAPAN,QU,76750,MEX,"ALIMENTOS FINISTERRE ,SRL DE CV",DDPBNDB0
INDUSTRIA,QUIMICO,2014-02-28,GGM1111071J9,CARRETERA FEDERAL PEROTE ALTOTONGA,MAGUEYITOS,KM2,,ALTOTONGA,VE,93737,MEX,GRUPO GASOLINERO EL MAGUEY S DE RL DE CV,X3BBD3NF
COMERCIO,OTROS COMERCIANTES,2005-10-10,TEL050808P21,GUILLERMO GONZALEZ CAMARENA,SANTA FE,1600,PISO 4,ALVARO OBREGON,DF,1210,MEX,TELROAD  SA DE CV,I0PIDNIF
COMERCIO,OTROS COMERCIANTES,2003-09-30,INT980507298,IGNACIO ALLENDE,CENTRO,8,,XALAPA,VE,91000,MEX,INTERMERCADO SA DE C V,BFN0088N
COMERCIO,SUPER Y ABARROTES,2008-05-28,ISU030513UT1,AV MARIANO OTERO,RESIDENCIAL VICTORIA,1901,401,ZAPOPAN,JA,45089,MEX,INAGRO DEL SUR SA DE CV,PD3IDPNI
COMERCIO,INSUMOS PARA LA INDUSTRIA,2003-01-08,AGA020819U89,AV LIBERTAD,NUEVO CASAS GRANDES CENTRO,600,,NUEVO CASAS GRANDES,CH,31700,MEX,AGROTECNICA GANA SA DE CV,NP063N63
COMERCIO,OTROS COMERCIANTES,1990-12-20,MOB891006BY0,DEL RASTRO,VILLA SAN ANTONIO,36 B,,GUADALUPE,NL,67112,MEX,MOBILKRAFT SA DE CV,36INFIFF
INDUSTRIA,INDUSTRIAS BASICAS,2010-06-02,GIP100420HI4,MARIANO ESCOBEDO,SAN LORENZO MEXICO,163 A,,TLALNEPANTLA,EM,54030,MEX,GRUPO INDUSTRIAL DE PRODUCTOS DE ACERO I PASA SA DE CV,F8NBDBNP
COMERCIO,SUPER Y ABARROTES,2011-11-16,PST080825LZ5,TERCERA CERRADA DE AQUILES SERDAN,SAN AGUSTIN,10,,ZACATLAN,PU,73310,MEX,PROCESADORA DE SEMIL LAS DE TOMATLAN SPR DE RL DE CV,4DB6NI3B
INDUSTRIA,INDUSTRIAS BASICAS,2000-01-17,ECO930601125,PASEO DE LOS TAMARINDOS SUITE 101 OFICINA 10,BOSQUES DE LAS LOMAS,400,A,CUAJIMALPA DE MORELOS,DF,5120,MEX,ESTUDIO COLOR SA DE CV,3NBB36IN
SERVICIOS,SERVICIOS MEDICOS,2005-10-31,GMF980310HJ9,BLVD DEL MAESTRO,LAS FUENTES,530,,REYNOSA,TM,88740,MEX,GRUPO MEDICO LAS FUE NTES SA DE CV,I3D80I6N
COMERCIO,ROPA REGALOS Y CALZADO,2001-03-12,SDM990119QI9,NICOLAS ROMERO,CHAPULTEPEC COUNTRY,1476,,GUADALAJARA,JA,44620,MEX,SISTEMAS 2000 S.A. D E C.V.,38PPFND6
INMOBILIARIO,ALQUILER DE INMUEBLES,2007-09-26,PAI070720G8A,JUAN JOSE TORRES LANDA,IRAPUATO CENTRO,82,,IRAPUATO,GU,36500,MEX,PROMOTORA DE ASISTEN CIA INMOBILIARIA SA DE CV,6I06NFB3
COMERCIO,INSUMOS PARA LA INDUSTRIA,2003-05-12,HMQ0303178K8,AV 5 DE FEBRERO,FELIPE CARRILLO PUER,271,B,QUERETARO,QU,76138,MEX,HAGAMOS MUEBLES QUER ETARO SA DE CV,B6I6B630
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2017-01-19,TAG9702102EA,COBRE,CIUDAD INDUSTRIAL,106,,CENTRO,TA,86010,MEX,TAGAL SA DE CV,X6B6B8BP
COMERCIO,OTROS COMERCIANTES,2015-05-28,AFR110124M64,CALLE 21,SAN PEDRO DE LOS PINOS,64,,BENITO JUAREZ,DF,3800,MEX,ALI FRESKOS SA DE CV,XNFF8I6B
INDUSTRIA,MAQUIRIA Y EQUIPO,1995-11-29,MEI850313PN3,LORENZO ANGELES,EL PUEBLITO (VILLA C,92,6,CORREGIDORA,QU,76900,MEX,MONTAJES ELECTROMECA NICOS E INGENIERIA S A DE CV,0IBFNB0P
COMERCIO,INSUMOS PARA LA INDUSTRIA,1996-08-20,CFM861230BD9,OJO DE AGUA,HACIENDA OJO DE AGUA,MZ 146,LT 32,TECAMAC,EM,55770,MEX,"CEMENTOS Y FIERROS M EXEDO,SA DE CV",3FIIINDD
COMERCIO,ROPA REGALOS Y CALZADO,1986-10-20,PMP850905GRA,AV EL COLLI,COLLI URBANO,4615,,ZAPOPAN,JA,45070,MEX,PROVEEDORA DE MEDIAS DEL PACIFICO SA DE CV,366I6FFI
INDUSTRIA,MAQUIRIA Y EQUIPO,2001-09-20,RAU931124R17,HEROES FERROCARRILEROS,FERROCARRIL,325,2,GUADALAJARA,JA,44440,MEX,RADIADORES AUTOMOTRI CES S.A. DE C.V.,NDB0NP63
INDUSTRIA,INDUSTRIAS BASICAS,1993-08-23,FIN660326QB7,ADOLFO RUIZ CORTINES PTE,BELLA VISTA,982,,MONTERREY,NL,64410,MEX,"FERRETERA INDUSTRIAL DEL NORTE,SA DE CV",3P3PBID6
INDUSTRIA,TEXTIL,1995-03-16,TYA870917IHA,CARRETERA DEL OLIVO,LOMAS DE VISTA HERMOSA,15,,CUAJIMALPA DE MORELOS,DF,5100,MEX,"TURBO YARN,SA DE CV",36FI380P
COMERCIO,OTROS COMERCIANTES,1989-02-16,GIT870304M41,FEBRERO DE1917,ZONA INDUSTRIAL CHALCO,SN,,CHALCO,EM,56600,MEX,"GRUPO INDUSTRIAL TOR ILLO HIJOS,SA DE CV",36BN0B0D
COMERCIO,OTROS COMERCIANTES,2007-11-30,OIC051024A24,AV DOLORES HIDALGO,LAS PALMAS,19,,MANZANILLO,CO,28869,MEX,OPERADORA INTERNACIO NAL COLIMENSE S DE R L DE,668IN300
COMERCIO,INSUMOS PARA LA INDUSTRIA,1999-12-16,ACO940706GL2,2A NORTE,PUERTO ESCONDIDO,SN,,SAN PEDRO MIXTEPEC-JUQUILA,OA,71980,MEX,"AGROQUIMICOS DE LA C OSTA,SA DE CV",DB3NB6FD
COMERCIO,SUPER Y ABARROTES,1999-12-09,SCF980729D54,RAFAEL BUELNA,CIRCUNVALACION OBLATOS,1110,,GUADALAJARA,JA,44716,MEX,SUPER CARNES FRIAS P AODI SA CV,3BNN6308
AGROINDUSTRIA,AGROINDUSTRIA,2000-07-11,CCI971127HXA,FARO,VERDE VALLE,2350,8C,GUADALAJARA,JA,44550,MEX,"CONSEJO DE CAMARAS I ND. DE JALISCO, A.C.",3BD6BFP6
INMOBILIARIO,NO VIVIENDA,2003-11-11,ADS961030I55,CONSTITUYENTES DEL 57,FRANCISCO I MADERO,3086,,MONTERREY,NL,64560,MEX,"ASESORIA Y DISE�O EN SISTEMAS ELECTRICOS , SA DE CV",BFP8F63I
SERVICIOS,SERVICIOS PROFESIONALES,2002-06-07,ILS020508NBA,AHUITZOTL,LA PRECIOSA,50,,AZCAPOTZALCO,DF,2460,MEX,INTELIGENCIA LOGISTI CA EN SEGURIDAD PRIV ADA SA DE CV,N88P038P
COMERCIO,INSUMOS PARA LA INDUSTRIA,1999-07-16,CNM990504RM5,BUENA VISTA,LINDAVISTA,61,4,GUSTAVO A MADERO,DF,7300,MEX,"COLORES NATURALES DE MEXICO,SA DE CV",DNBBFN66
INMOBILIARIO,HOTELES,1995-08-29,HMM8912267G0,PERIFERICO REPUBLICA,LA HUERTA,14125,,MORELIA,MI,58080,MEX,HOTELES MONTECARLO D E MICHOACAN SA DE CV,0I308NN8
COMERCIO,INSUMOS PARA LA INDUSTRIA,1997-02-06,BAL970108DU1,5 NTE,CENTRO,1407,,PUEBLA,PU,72000,MEX,BODEGAS ALARCON SA D E CV,D06B3PNN
COMERCIO,INSUMOS PARA LA INDUSTRIA,1997-11-04,TIM950714CD2,CALLE EJE 1 NORTE,SECCION 3,125,,TOLUCA,EM,50200,MEX,TRANSFORMADORA INDUS TRIAL METALICA SA DE CV,D3B88P30
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2011-01-07,DCK0705175G9,LAURO VILLAR,PRIVADA RESIDENCIAL MAGNOLIAS,4435,,MATAMOROS,TM,87445,MEX,DISTRIBUIDORA DE COM BUSTIBLES KARZO S DE RL DE CV,FP0FP3BD
INMOBILIARIO,NO VIVIENDA,2008-05-16,PRO0804072R0,AVE HIDALGO,MIGUEL HIDALGO,20,,TLALNEPANTLA DE BAZ,EM,54060,MEX,PROMEXAR SA DE CV,P368NN0I
SERVICIOS,SERVICIOS PROFESIONALES,2005-05-12,DCE050301DH1,CDA LA NORIA,LA NORIA,2,,XOCHIMILCO,DF,16030,MEX,DESARROLLO Y CONSULT ORIA ESPECIALIZADA SA DE CV,86IP88NN
COMERCIO,ROPA REGALOS Y CALZADO,1991-05-03,TTE920626JY1,INDEPENDENCIA SUR,CENTRO,200,,TULANCINGO DE BRAVO,HI,43600,MEX,"TEXTILES TECNICOS,SA DE CV",36FBDB8D
TRANSPORTE,TRANSPORTE,2005-10-11,GVI0404142F2,CARRETERA LAS CHOAPAS CUICHAPA KM 2 MAS 200,J MARIA ROSADO,SN,,LAS CHOAPAS,VE,96980,MEX,GRUAS VIRGO SA DE CV,I0PPDDPD
COMERCIO,OTROS COMERCIANTES,2008-07-01,DAC080228DZ4,CLL THIERS,ANZURES,251,1201,MIGUEL HIDALGO,DF,11590,MEX,DACLAF SA DE CV,PNDBFI6B
COMERCIO,OTROS COMERCIANTES,1990-05-28,BAL840210E8A,AV PERIFERICO PASEO DE LA REPUBLICA,LAZARO CARDENAS,2560,,MORELIA,MI,58229,MEX,"BALERCE,SA DE CV",363D6N08
COMERCIO,SUPER Y ABARROTES,2011-12-07,OAL110829SP2,17 NTE,CENTRAL DE ABASTOS,10210 A,,PUEBLA,PU,72019,MEX,ORGANIZACION ABARROT ERA L&A SA DE CV,4D6PF66P
COMERCIO,ROPA REGALOS Y CALZADO,1998-05-27,MDU870923HWA,CENTRO DISTR. DE BASICOS,LAS HADAS,86 Y 87,,AGUASCALIENTES,AG,20140,MEX,"MAYOREO DULCERO, S.A . DE C.V.",336FBFDF
COMERCIO,OTROS COMERCIANTES,2009-11-20,ICO090928236,BOULEVARD REVOLUCION,TORREON JARDIN,2750ORIE,,TORREON,CU,27200,MEX,IC CORPORATION SA DE CV,FN0DP300
SERVICIOS,SERVICIOS PROFESIONALES,1994-04-13,CFT930722AD9,TABASCO,MEXICO NUEVO,21,,ATIZAPAN DE ZARAGOZA,EM,52966,MEX,CANADIAN FOREIGN TRA DE PROMOTER DE MEXIC O SA DE CV,3PBFDF6P
COMERCIO,OTROS COMERCIANTES,1997-04-02,CAT950711BX1,JUAN JOSE BAZ,EL RETIRO,625,,GUADALAJARA,JA,44280,MEX,"CORPORACION ATLANTID A,SA DE CV",D0P6BB33
COMERCIO,OTROS COMERCIANTES,2009-10-27,BIN090313TV7,AV DEL TRABAJO,STA MARIA OZUMBILL,10,,TECAMAC,EM,55760,MEX,BK R INDUSGROUP  SA DE CV,FD6N388B
COMERCIO,ROPA REGALOS Y CALZADO,2005-10-19,CJY030414729,DIA 4 X 85 Y 85 A,NUEVA KUKULKAN,345,,MERIDA,YU,97195,MEX,CAUSAS JUSTAS DE YUC ATAN SA DE CV,I30N036N
COMERCIO,INSUMOS PARA LA INDUSTRIA,2006-08-01,RLM0602275X3,CITLALTEPETL,TORREON JARDIN,800,,TORREON,CU,27200,MEX,RACKS Y LAMINADOS ME XICO SA DE CV,I6B060BN
AGROINDUSTRIA,AGROINDUSTRIA,2000-06-28,GAP9605146H1,CARR MEXICO ACAPULCO,CENTRO,KM 66 5,,BUENAVISTA DE CUELLAR,GO,40332,MEX,"GRUPO AVICOLA EL PEN ON,SA DE CV",D83IIPBB
COMERCIO,SUPER Y ABARROTES,1999-02-19,CAV990128S85,VENUSTIANO CARRANZA,JUAN ALDAMA,99,,JUAN ALDAMA,ZA,98300,MEX,"COMERCIAL ABARROTERA VALLES,SA DE CV",DDF3B380
INMOBILIARIO,NO VIVIENDA,2007-09-06,DMP0402123U9,PARQUE DEL CONDE,SAN JOSE INSURGENTES,22,,BENITO JUAREZ,DF,3900,MEX,DISE�O  MANTENIMIENT O Y PLANEACION SA DE CV,6863D036
COMERCIO,SUPER Y ABARROTES,2011-09-30,DOA0305167W6,IGNACIO ZARAGOZA,CENTRO,6,B,OCOTLAN DE MORELOS,OA,71510,MEX,DULCIFIESTA DE OAXAC A SA DE CV,43PDF630
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2017-02-09,GGA0503222A5,CULTURAS VERACRUZANAS,RESERVA TERRITORIAL,705,,XALAPA,VE,91096,MEX,GRUPO GASOLINERO ATH ENEA SA DE CV,X6I03P80
INDUSTRIA,QUIMICO,2013-06-03,RYT130322EI1,PROTON,NAUCALPAN,14,,NAUCALPAN DE JUAREZ,EM,53489,MEX,RYTSACOLOR SA DE CV,4FD06F86
COMERCIO,SUPER Y ABARROTES,2009-06-10,DIT090325212,SAN LORENZO,VISTA HERMOSA,383,,MONTERREY,NL,64620,MEX,DOMUS ITALICA SA DE CV,F333I38I
COMERCIO,SUPER Y ABARROTES,2001-10-19,PSN010904824,CALLE CAMINO A GRANJA MERCEDES,LA MANGA,SN,,HERMOSILLO,SO,83220,MEX,PAPAS SELECTAS DEL N OROESTE SA DE CV,NN0B88D8
TRANSPORTE,TRANSPORTE,2003-05-21,TSJ980831LC1,PROL HIDALGO OTE,SAN JULIAN CENTRO,385,,SAN JULIAN,JA,47170,MEX,TRANSPORTADORA SAN J ULIAN SA DE CV,B66FBD60
COMERCIO,INSUMOS PARA LA INDUSTRIA,1997-12-11,TRI970922TL2,37 NO 208 D X 48 Y 50,VALLADOLID CENTRO,208D,,VALLADOLID,YU,97780,MEX,"TRIVASA,SA DE CV",D38IP6DI
COMERCIO,OTROS COMERCIANTES,1993-09-22,CAR930920MZ9,CERRO DE LA ESTRELLA,CAMPESTRE CHURUBUSCO,89,,COYOACAN,DF,4200,MEX,"CORPORATIVO ARCA,SA DE CV",3P6NPDFN
TRANSPORTE,TRANSPORTE,1991-08-02,FCI5902064X4,AGUASCALIENTES PTE,ESPA�A,1606,,AGUASCALIENTES,AG,20210,MEX,"FLETES CHIHUAHUA,SA DE CV",36NND0N8
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,2009-03-18,PCE9209014Z5,MOSCATEL,PASO BLANCO,46,,JESUS MARIA,AG,20905,MEX,PRODITEK DEL CENTRO SA DE CV,PFFN0B06
COMERCIO,ROPA REGALOS Y CALZADO,2015-01-28,DEM981027F59,AV PRIMERO DE MAYO,CENTRO INDUSTRIAL TLALNEPANTLA,220,,TLALNEPANTLA DE BAZ,EM,54030,MEX,DISTRIBUIDORA Y EXPO RTADORA DE MEDICAMEN TOS SA DE CV,XNN0P88I
COMERCIO,INSUMOS PARA LA INDUSTRIA,2002-12-23,DPT0210258U2,JUAN ALVAREZ ORIENTE,SAN SEBASTIAN,925,,TOLUCA,EM,50090,MEX,DISTRIBUIDORA DE PVC DE TOLUCA SA DE CV,N6FB3NID
COMERCIO,SUPER Y ABARROTES,2013-04-30,ABA120707L85,COLON,CENTRO,1,,HEROICA CIUDAD DE TLAXIACO,OA,69800,MEX,ABAJUX SA DE CV,4PPPI3B3
TRANSPORTE,TRANSPORTE,2007-11-09,TSJ061205LFA,JILGUEROS,LOMAS DE GUADALUPE,12,,SAN JUAN DEL RIO,QU,76807,MEX,TRANSPORTADORA SAN J UAN SA DE CV,66066PID
SERVICIOS,SERVICIOS PROFESIONALES,1992-03-23,TEU8912071P0,IGUALA,ROMA SUR,28,,CUAUHTEMOC,DF,6760,MEX,"TAX EDITORES UNIDOS, SA DE CV",36FN6NB0
INMOBILIARIO,NO VIVIENDA,2005-08-05,EMA010126375,CARRETERA HUINALA VILLA JUAREZ KM 5,HUINALA,5007,,APODACA,NL,66640,MEX,EDIFICACIONES MARTRE SA DE CV,8F8BPN33
COMERCIO,AUTOS Y REFACCIONES,1994-01-04,MMM8908141J2,LAGO CUITZEO,ANAHUAC,177,,MIGUEL HIDALGO,DF,11320,MEX,MONTACARGAS Y MANEJO DE MATERIALES SA DE CV,3PF83D0I
SERVICIOS,SERVICIOS PROFESIONALES,2008-11-11,SIE0502155P9,BLV ADOLFO RUIZ CORTINES,COSTA DE ORO,1360,3,BOCA DEL RIO,VE,94299,MEX,SOLUCIONES INDUSTRIA LES ESPECIALIZADAS S A DE CV,P6IBNBP3
SERVICIOS,SERVICIOS PROFESIONALES,1999-10-19,TCS991004E71,AMORES,DEL VALLE,321,,BENITO JUAREZ,DF,3100,MEX,"TKM CUSTOMER SOLUTIO NS,SA DE CV",DNPI3BDF
SERVICIOS,OTROS SERVICIOS,2012-09-05,IND120710FN0,CARLOS DICKENS LOC 102,POLANCO REFORMA,5,,MIGUEL HIDALGO,DF,11550,MEX,INDUMIL SA DE CV,4IDDBIN0
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2003-09-26,SPR9311158T6,LIB PERIMETRAL,INFONAVIT CERRO BLAN,715,,HIDALGO DEL PARRAL,CH,33896,MEX,"SERVICIO PERISUR DEL REAL, S.A. DE C.V.",BFDI0IFI
AGROINDUSTRIA,AGROINDUSTRIA,2003-10-09,DPM021216LH5,BOULEVARD BENITO JUAREZ,LA LAGUNA,409,,COMONDU,BS,23700,MEX,DISTRIBUIDORA DE PRO DUCTOS MARINOS E IND USTRIALIZADOS SA CV,BFBBB808
COMERCIO,OTROS COMERCIANTES,1998-08-10,CAI9704104M7,ANDALUCIA,ALAMOS,14,,BENITO JUAREZ,DF,3400,MEX,"CORPORACION ANALITIC A INTEGRAL,SA DE CV",DDNDIN80
COMERCIO,AUTOS Y REFACCIONES,1989-03-01,MMO870102CX2,CUAUHTEMOC,ROMA SUR,421,,CUAUHTEMOC,DF,6760,MEX,MARISCAL MOTORS SA D E CV,330IP0DB
COMERCIO,SUPER Y ABARROTES,1994-04-18,GMA931022B26,MANUEL DOBLADO,CIUDAD MANUEL DOBLADO CENTRO,106,,MANUEL DOBLADO,GU,36470,MEX,GRUPO MARAGUI SA DE CV,3PBF8D0N
COMERCIO,SUPER Y ABARROTES,1996-01-19,ANA951130CY1,AV. ESTACAS,SAN BARTOLO NAUCALPAN NAUCALPA,16,B,NAUCALPAN,EM,53000,MEX,AVI NAU S.A. DE C.V.,3BNDFF60
COMERCIO,SUPER Y ABARROTES,2010-04-09,MME060610N10,LAS CASCADAS,JARDINES DE LA RIVER,107,,SAN LUIS POTOSI,SL,78250,MEX,MERCADO DE MELAZA SA DE CV,FBIBB0I6
COMERCIO,INSUMOS PARA LA INDUSTRIA,1991-10-02,COM8906297AA,CARR TRANSP,SANTA ROSA,36.4,,LOS CABOS,BS,23428,MEX,"COMERCABOS,SA DE CV",36DNDD8I
COMERCIO,AUTOS Y REFACCIONES,2016-04-26,ASV1601137M1,PASEO DE TRESGUERRAS,JARDINES DE CELAYA 2,707,,CELAYA,GU,38080,MEX,AUTOS SEMINUEVOS VRI T SA DE CV,X8PBN3DD
AGROINDUSTRIA,AGROINDUSTRIA,1999-11-24,SAI950728317,2 DE ABRIL,EL ZAPOTE,226,,CELAYA,GU,38057,MEX,SISTEMAS AVANZADOS D E IRRIGACION SA DE C V,3NNDP880
INDUSTRIA,MAQUIRIA Y EQUIPO,2000-02-15,INT830825EY4,AVENIDA DOS,CARTAGENA,2,,TULTITLAN,EM,54918,MEX,AGECRON SA DE CV,3N80IFDF
SERVICIOS,SERVICIOS PROFESIONALES,2004-02-20,GCA0304149V2,COYOACAN,DEL VALLE,1035,11,BENITO JUAREZ,DF,3100,MEX,GRUPO CAPRINET S C,83060FBD
COMERCIO,INSUMOS PARA LA INDUSTRIA,2009-06-18,PRE080214HY4,30 DE OCTUBRE,DEL MAESTRO,205 A,,MONTERREY,NL,64180,MEX,PRIME RESINAS SA DE CV,F3DNB33F
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,2003-07-14,DMS0103205L3,CAMINO A LAS MINAS,SANTA ROSA,SN,,CHIMALHUACAN,EM,56330,MEX,DISE�OS METALICOS SA UCEDO SA DE CV,BPBDBII0
COMERCIO,OTROS COMERCIANTES,2006-10-30,HLM060606GF9,PADRE MIER  PTE,CENTRO,653,,MONTERREY,NL,64000,MEX,HOME LINK DE MEXICO SA DE CV,IFDDN8I3
COMERCIO,ROPA REGALOS Y CALZADO,2013-06-19,RSH121229LE9,ANTONIO ORTIZ MENA,PRESIDENTES,201,A 11,CHIHUAHUA,CH,31210,MEX,REGAL SHOES SA DE CV,4FNI886F
COMERCIO,INSUMOS PARA LA INDUSTRIA,1996-02-09,BCA9307293P1,QUERETARO CELAYA,AMECHE,KM 20,,APASEO EL GRANDE,GU,38180,MEX,"BOMBAS CENTRIFUGAS A LEMANAS,SA DE CV",3FN6IBPN
INDUSTRIA,INDUSTRIAS BASICAS,2002-09-24,CTI920617K11,CARR LECHERIA TEXCOCO,TEQUISISTLAN,KM 33 5,,TEZOYUCA,EM,56020,MEX,COMERCIAL TIRONI S.A DE C.V,NI6IDD3F
COMERCIO,SUPER Y ABARROTES,1996-09-09,PCA960506S97,PRIMERA,LOMAS PONIENTE,109,,CIUDAD VALLES,SL,79090,MEX,PRODUCTORA Y COMERCI ALIZADORA AGRICOLA E INDUSTRIAL SA DE CV,3F60IIND
COMERCIO,ROPA REGALOS Y CALZADO,1994-10-19,BPT900508FN8,PLAYA BLANCA ORIENTE,MOCTEZUMA PONIENTE,1061,3,ZAPOPAN,JA,45059,MEX,BOUTIQUE DE PLAYA TE RRANOVA SA DE CV,3PIFNFBP
COMERCIO,INSUMOS PARA LA INDUSTRIA,2003-10-02,MMJ001021KM7,AV. DE LOS GANADEROS,EJIDO MATAMOROS,21834,,TIJUANA,BN,22204,MEX,MADERAS Y MATERIALES JR SA DE CV,BFNN6P0D
SERVICIOS,SERVICIOS PROFESIONALES,2007-06-06,HCT070215DT0,CARR 57 MEXICO PIEDRAS NEGRAS KM 4,SOLEDAD DE GRACIANO,SN,,SOLEDAD DE GRACIANO SANCHEZ,SL,78430,MEX,HABILITACIONES CALIF ICADAS TECNICAMENTE SA DE CV,6NBN0D66
COMERCIO,INSUMOS PARA LA INDUSTRIA,1995-06-12,ACO9402179M9,BLV PUERTA DEL SOL,COLINAS DE SAN JERONIMO,1205,,MONTERREY,NL,64630,MEX,ACTUALIZACIONES PARA COMPUTADORAS SA DE CV,3F0I3N6I
INDUSTRIA,TEXTIL,1997-10-28,ETE6701027E6,SAN JUAN,COL STA COLETA,668,,GUSTAVO A MADERO,DF,7480,MEX,ELASTICOS TEPEYAC SA DE CV,D3BN6830
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,2000-04-26,GIN9911294X4,CARRET AL INGENIO,LA ESPERANZA EL NARANJO SLP,KM 3 5,,EL NARANJO,SL,79310,MEX,"GRUPO INDUSTRIAL NAR ANJO,SA DE CV",DBPN06F3
COMERCIO,SUPER Y ABARROTES,2005-09-09,COM021220RG6,BLVD PASEO SOLIDARIDAD,PLAN DE GUANAJUATO,10685,C,IRAPUATO,GU,36510,MEX,COMUNDI  SA DE CV,I0DPPPP0
COMERCIO,OTROS COMERCIANTES,1989-03-02,DPM831021285,BAJIO,ROMA SUR,360,PSO 6,CUAUHTEMOC,DF,6760,MEX,"DATAPRODUCTS DE MEXI CO,SA DE CV",3P683088
COMERCIO,OTROS COMERCIANTES,1992-06-03,RTE840713SX1,PONIENTE 152,INDUSTRIAL VALLEJO,935,C,AZCAPOTZALCO,DF,2300,MEX,"REPRESENTACIONES TEC NICAS,SA DE CV",366FFPD8
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2007-05-29,CLR050720E22,FRANCISCO I MADERO,DR ARROYO CENTRO,5,,DOCTOR ARROYO,NL,67900,MEX,COMBUSTIBLES Y LUBRI CANTES RAMIREZ SA DE CV,6NDBFI3N
SERVICIOS,SERVICIOS PROFESIONALES,2010-06-28,ADN070227VCA,AV MULTIPARK,MULTIPARK PARQUE IND,184,,APODACA,NL,66633,MEX,ACABADOS DN SA DE CV,F6PDF3P6
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,1998-04-14,SSU960202LM2,LAZARO CARDENAS,TULIPANES,1,,EBANO,SL,79170,MEX,"SUPER SERVICIO UNION ,SA DE CV",D3FND80N
INDUSTRIA,QUIMICO,2011-09-06,ACO1107274K1,HAMBURGO,JUAREZ,213,PSO 15,CUAUHTEMOC,DF,6600,MEX,ABSARA COSMETICS SAP I DE CV,4380360P
SERVICIOS,SERVICIOS PROFESIONALES,1992-02-06,LAS880427DP8,ENRIQUE SADA MUGUERZA,CIUDAD SATELITE,3,LOC 9,NAUCALPAN DE JUAREZ,EM,53100,MEX,LOGICA APLICACIONES SOPORTE Y SERVICIO S A DE CV,368N6863
COMERCIO,OTROS COMERCIANTES,1960-10-01,FAG8605197R0,MANUEL MARIA CONTRERAS,SAN RAFAEL,79,,CUAUHTEMOC,DF,6470,MEX,CIA FERRETERA EL AGU ILA SA DE CV,36DDI8I3
